animal_id,date,prcp,mtemp,mintemp,maxtemp
2174,2012-03-12,0,9.638982392600496,6.572503647555607,8.503554271491794
2174,2012-03-13,0,9.96429869337021,7.517186323224166,8.823923201584819
2161,2012-03-14,0,9.933152339306446,7.013403006598992,8.552649332278975
2174,2012-03-14,0,9.92657525092693,7.013531921724848,8.54956524250747
1749,2012-03-15,0.33400332968253726,10.243662301232462,8.84757845893347,9.169019049039775
2161,2012-03-15,0.31264395947074286,10.240468514526128,8.863020580862042,9.180042133509971
2174,2012-03-15,0.32713530231434795,10.233170484026516,8.837437510026916,9.159498879554462
1749,2012-03-16,4.7262537589372995,9.157977658275001,7.336025088146243,8.412799070169228
2161,2012-03-16,4.4568919072556605,9.189008488495631,7.404030473642763,8.468114465621682
2174,2012-03-16,4.671406290557006,9.160337053086494,7.356238858926133,8.427593106939412
1749,2012-03-17,0.30132213132386576,7.704711819400529,5.870712188046241,7.14715065924662
2161,2012-03-17,0.2737756047155983,7.741122386920267,5.927463016662955,7.184986037743045
2174,2012-03-17,0.3003895529522176,7.703945456469455,5.868902803623143,7.1456235197366595
1749,2012-03-18,0.12438612895719411,8.783840921089109,6.20980387499219,8.48997419006622
2161,2012-03-18,0.13772261786421328,8.835146233554497,6.310685094938435,8.540116116588763
2174,2012-03-18,0.1244539417867647,8.784078277635672,6.20848379236935,8.48965592637336
1749,2012-03-19,0,10.382402415551951,8.386561199285211,9.3547054562315
2161,2012-03-19,0,10.399548529084996,8.438663151387345,9.39458686541002
2174,2012-03-19,0,10.383373190107534,8.387523258485544,9.355754151398116
1749,2012-03-20,0.17874471547263918,10.996224509653587,8.624247757486842,10.111658854543691
2161,2012-03-20,0.13295394740666183,10.995546873828062,8.65784842268846,10.129191938459314
2174,2012-03-20,0.17830664557403475,10.995436131360066,8.625138624458202,10.111596156345456
1749,2012-03-21,0,10.50805365112393,8.07272171399677,9.467257525986497
2161,2012-03-21,0,10.531287683602898,8.136501857197914,9.495790496173015
2174,2012-03-21,0,10.507385883515667,8.07391710779217,9.467514210239642
1749,2012-03-22,3.9873958702318686,11.599766974160673,9.67253938384954,11.123572273821082
2161,2012-03-22,3.982255772308838,11.578009677259558,9.68937589066718,11.101825571180655
2174,2012-03-22,4.05747682973679,11.592529283818408,9.671991157286584,11.121861774508773
1749,2012-03-23,5.709252418712802,11.707125877794567,9.471017103301847,10.452288397986024
2161,2012-03-23,4.691711741892231,11.70565901360493,9.511292466072234,10.475975763539907
2174,2012-03-23,5.715659738545792,11.7056166058278,9.470886850458044,10.451928013807787
1749,2012-03-24,0.11769663574751252,13.760548249330157,10.559878476832637,12.173074855412892
2161,2012-03-24,0.126901012532895,13.742922282245672,10.618708638975022,12.174351649736366
2174,2012-03-24,0.11916546619375824,13.766302605238991,10.56178554300908,12.177167841528956
1749,2012-03-25,0,13.314915821327531,9.895628658190446,12.269926244635826
2161,2012-03-25,0,13.315610612831279,9.971285182149472,12.279556834215043
2174,2012-03-25,0,13.305140749324437,9.894449231124383,12.262322825053332
1749,2012-03-26,0,13.710876260663781,10.237392773837598,12.617976829376914
2161,2012-03-26,0,13.676491263673483,10.28664927306005,12.596052749940498
2174,2012-03-26,0,13.694241819132515,10.222484082698372,12.605209594890084
1749,2012-03-27,0,13.708483157460932,9.491595932344694,12.475097159988422
2160,2012-03-27,0,13.706086853976785,9.493046312496631,12.47355189604798
2161,2012-03-27,0,13.684957217079216,9.544754097420537,12.473478862220361
2174,2012-03-27,0,13.702664796592728,9.49466015160391,12.47118735753969
1749,2012-03-28,0,14.13663822611204,10.42947558749296,13.045402526999567
2160,2012-03-28,0,14.134395458049028,10.43029062630103,13.044158404670725
2161,2012-03-28,0,14.158272614980035,10.477619811726811,13.054711970991718
2174,2012-03-28,0,14.13083451806665,10.43046757375248,13.042237667634595
1749,2012-03-29,0.05320877028934635,13.086764457534002,9.838144540735243,12.481245294046005
2160,2012-03-29,0.05287300462682091,13.092724965461116,9.836920265758465,12.484664873764757
2161,2012-03-29,0.03769412951066847,13.112674071230742,9.910576350940573,12.500507366015654
2174,2012-03-29,0.05289127233123576,13.092648365251591,9.836861773979479,12.484616816554706
1749,2012-03-30,0,12.064155175939675,9.27071522666148,11.02310786939637
2160,2012-03-30,0,12.074142300864423,9.266521011889267,11.027172502539315
2161,2012-03-30,0,12.081440978632429,9.313615342595199,11.039484661377514
2164,2012-03-30,0,10.756997345514378,8.370126778055067,10.268979729416515
2167,2012-03-30,0,10.756775558194875,8.371227340521841,10.270354373228201
2174,2012-03-30,0,12.063876956790295,9.270822828252847,11.022992912486359
2176,2012-03-30,0,10.756995039045364,8.370142158281737,10.26899599617576
1749,2012-03-31,0,11.06046749324787,7.466546557228014,10.141731914071784
2160,2012-03-31,0,11.060240623785205,7.469250916269516,10.142134046023898
2161,2012-03-31,0,11.107965032053812,7.562686551099546,10.191046950121915
2164,2012-03-31,0,8.050739904016325,7.98680465108913,8.60386525185828
2167,2012-03-31,0,8.530086769604225,4.270767005465359,7.673704991453121
2174,2012-03-31,0,11.07201136397424,7.450118493987077,10.1456696532573
2176,2012-03-31,0,8.054841783954714,7.8029374492602415,8.501320966615197
1749,2012-04-01,0,9.812201484161221,7.943074642095098,8.941623064874932
2160,2012-04-01,0,10.022652381802004,7.797739324013946,9.290295294418911
2161,2012-04-01,0,10.411126731096488,7.515943542414334,9.726822054336537
2164,2012-04-01,8.491772016086742,6.621830546971751,6.827435416426965,7.1201422697253065
2167,2012-04-01,0.1842497731030831,8.116268584105796,7.765708229723316,8.306438195081057
