animal_id,key,date,julian,latitude,longitude,sex,year,missing,pop,tag,fly,graze,stationary,nbursts,ptf,mean.odba,median.odba
1749,1749_2012,2012-04-17,108,64.8077485,-22.7622779,male,2012,n,GRLD,EOBS,5,129,106,240,0.5375,0.3800972784085596,0.16208125658880979
1749,1749_2012,2012-04-18,109,64.8077668,-22.7630307,male,2012,n,GRLD,EOBS,2,147,90,240,0.6125,0.4051886794592843,0.28311424651084793
1749,1749_2012,2012-04-19,110,64.8051666,-22.7728858,male,2012,n,GRLD,EOBS,6,143,91,240,0.5958333333333333,0.3922569364787134,0.2604573622857899
1749,1749_2012,2012-04-20,111,64.800718,-22.7977361,male,2012,n,GRLD,EOBS,3,156,81,240,0.65,0.42942556297690093,0.39193282516609784
1749,1749_2012,2012-04-21,112,64.8015014,-22.7988961,male,2012,n,GRLD,EOBS,2,144,94,240,0.6,0.4017476652450897,0.3161723535000115
1749,1749_2012,2012-04-22,113,64.8064006,-22.7779718,male,2012,n,GRLD,EOBS,5,142,93,240,0.5916666666666667,0.42252108722794257,0.3221713608520772
1749,1749_2012,2012-04-23,114,64.8077743,-22.7783711,male,2012,n,GRLD,EOBS,2,154,84,240,0.6416666666666667,0.4360437858155309,0.4668213916754248
1749,1749_2012,2012-04-24,115,64.8065743,-22.7771079,male,2012,n,GRLD,EOBS,2,155,83,240,0.6458333333333334,0.45450763595857324,0.4676803316678378
1749,1749_2012,2012-04-25,116,64.8088511,-22.7709325,male,2012,n,GRLD,EOBS,NA,135,105,240,0.5625,0.3565582260356406,0.19703847736629182
1749,1749_2012,2012-04-26,117,64.8083642,-22.769354,male,2012,n,GRLD,EOBS,2,153,85,240,0.6375,0.3881268330142025,0.3038223057821966
1749,1749_2012,2012-04-27,118,64.8086524,-22.7723795,male,2012,n,GRLD,EOBS,4,143,93,240,0.5958333333333333,0.3989985584193616,0.21227796806578234
1749,1749_2012,2012-04-28,119,64.8077171,-22.7628161,male,2012,n,GRLD,EOBS,1,154,85,240,0.6416666666666667,0.3671221903896403,0.23291914461709684
1749,1749_2012,2012-04-29,120,64.8001988,-22.7960834,male,2012,n,GRLD,EOBS,8,144,88,240,0.6,0.4292772549343699,0.3064387118517029
1749,1749_2012,2012-04-30,121,64.8062197,-22.7587848,male,2012,n,GRLD,EOBS,2,144,94,240,0.6,0.36714861921120984,0.1674688956221056
1749,1749_2012,2012-05-01,122,64.8012968,-22.7908928,male,2012,n,GRLD,EOBS,2,175,63,240,0.7291666666666666,0.469582365476497,0.4618722410983096
1749,1749_2012,2012-05-02,123,64.8035687,-22.7964702,male,2012,n,GRLD,EOBS,3,152,85,240,0.6333333333333333,0.42069120849508196,0.43167140061962384
1749,1749_2012,2012-05-03,124,66.1092339,-34.3679628,male,2012,n,GRLD,EOBS,151,31,58,240,0.12916666666666668,1.0718268309241719,1.467882639394064
1749,1749_2012,2012-05-04,125,67.9140191,-50.4122303,male,2012,n,GRLD,EOBS,127,42,71,240,0.175,1.0300355298290607,1.5175393908905053
1749,1749_2012,2012-05-05,126,70.4566162,-52.6758663,male,2012,n,GRLD,EOBS,44,135,61,240,0.5625,0.6510399538116349,0.5249320563923743
1749,1749_2012,2012-05-06,127,70.460878,-52.7019323,male,2012,n,GRLD,EOBS,1,157,82,240,0.6541666666666667,0.37782462443725984,0.3521653044641538
1749,1749_2012,2012-05-07,128,70.4573671,-52.6994011,male,2012,n,GRLD,EOBS,1,182,57,240,0.7583333333333333,0.4815482914461184,0.4982001439996201
1749,1749_2012,2012-05-08,129,70.4584005,-52.6863233,male,2012,n,GRLD,EOBS,4,147,89,240,0.6125,0.4359455513368587,0.4037563472337594
1749,1749_2012,2012-05-09,130,70.4608308,-52.6961176,male,2012,n,GRLD,EOBS,1,167,72,240,0.6958333333333333,0.426735165988263,0.3479020380043052
1749,1749_2012,2012-05-10,131,70.4625026,-52.7243595,male,2012,n,GRLD,EOBS,2,141,97,240,0.5875,0.37432957648220827,0.2207751723087487
1749,1749_2012,2012-05-11,132,70.4259845,-52.6149946,male,2012,n,GRLD,EOBS,3,141,96,240,0.5875,0.4081608232792667,0.33866914593998576
1749,1749_2012,2012-05-12,133,70.4608725,-52.6978677,male,2012,n,GRLD,EOBS,NA,163,77,240,0.6791666666666667,0.4520894375664541,0.42353307173544485
1749,1749_2012,2012-05-13,134,70.4577684,-52.7003542,male,2012,n,GRLD,EOBS,1,142,97,240,0.5916666666666667,0.4043035661579239,0.2876453719073515
1749,1749_2012,2012-05-14,135,70.422247,-52.6379944,male,2012,n,GRLD,EOBS,3,109,128,240,0.45416666666666666,0.25725832024681633,0.043909983699271626
1749,1749_2012,2012-05-15,136,70.4263153,-52.6093538,male,2012,n,GRLD,EOBS,2,146,92,240,0.6083333333333333,0.4211248736362152,0.34985749299535174
1749,1749_2012,2012-05-16,137,70.4262918,-52.6158029,male,2012,n,GRLD,EOBS,2,148,90,240,0.6166666666666667,0.3600760339725325,0.19214184711817808
1749,1749_2012,2012-05-17,138,70.4235317,-52.6398388,male,2012,n,GRLD,EOBS,NA,152,88,240,0.6333333333333333,0.381666131042872,0.22474692970890292
1749,1749_2012,2012-05-18,139,70.4276253,-52.6193585,male,2012,n,GRLD,EOBS,NA,148,92,240,0.6166666666666667,0.3795841978333269,0.28466250745079547
1749,1749_2012,2012-05-19,140,70.4224319,-52.6377087,male,2012,n,GRLD,EOBS,NA,126,114,240,0.525,0.2926257573309944,0.07557593493748943
1749,1749_2012,2012-05-20,141,70.4264898,-52.615923,male,2012,n,GRLD,EOBS,NA,150,90,240,0.625,0.41541561193201093,0.34114567283533487
1749,1749_2012,2012-05-21,142,70.4225069,-52.6377238,male,2012,n,GRLD,EOBS,4,136,100,240,0.5666666666666667,0.3251879832279697,0.2136528297272891
1749,1749_2012,2012-05-22,143,70.426115,-52.6226371,male,2012,n,GRLD,EOBS,1,137,102,240,0.5708333333333333,0.3617559591709547,0.18739331283301766
1749,1749_2012,2012-05-23,144,70.4208445,-52.4326957,male,2012,n,GRLD,EOBS,5,138,97,240,0.575,0.3649489257645139,0.21473012726487933
1749,1749_2012,2012-05-24,145,70.4226277,-52.6377887,male,2012,n,GRLD,EOBS,NA,125,115,240,0.5208333333333334,0.3036669028868795,0.11267119321336419
1749,1749_2012,2012-05-25,146,70.4218931,-52.6369073,male,2012,n,GRLD,EOBS,6,135,99,240,0.5625,0.38557076114398725,0.19309015701356735
1749,1749_2012,2012-05-26,147,70.4230813,-52.6369489,male,2012,n,GRLD,EOBS,4,108,128,240,0.45,0.3087043406469577,0.054955617039012
