animal_id,key,timestamp,date
1749,1749_2012,2012-03-15T16:00:00Z,2012-03-15
1749,1749_2012,2012-03-16T16:00:00Z,2012-03-16
1749,1749_2012,2012-03-17T16:00:00Z,2012-03-17
1749,1749_2012,2012-03-18T16:00:00Z,2012-03-18
1749,1749_2012,2012-03-19T16:00:00Z,2012-03-19
1749,1749_2012,2012-03-20T16:00:00Z,2012-03-20
1749,1749_2012,2012-03-21T16:00:00Z,2012-03-21
1749,1749_2012,2012-03-22T16:00:00Z,2012-03-22
1749,1749_2012,2012-03-23T16:00:00Z,2012-03-23
1749,1749_2012,2012-03-24T16:00:00Z,2012-03-24
1749,1749_2012,2012-03-25T16:00:00Z,2012-03-25
1749,1749_2012,2012-03-26T16:00:00Z,2012-03-26
1749,1749_2012,2012-03-27T16:00:00Z,2012-03-27
1749,1749_2012,2012-03-28T16:00:00Z,2012-03-28
1749,1749_2012,2012-03-29T16:00:00Z,2012-03-29
1749,1749_2012,2012-03-30T16:00:00Z,2012-03-30
1749,1749_2012,2012-03-31T16:00:00Z,2012-03-31
1749,1749_2012,2012-04-01T16:00:00Z,2012-04-01
1749,1749_2012,2012-04-02T16:00:00Z,2012-04-02
1749,1749_2012,2012-04-03T16:00:00Z,2012-04-03
1749,1749_2012,2012-04-04T16:00:00Z,2012-04-04
1749,1749_2012,2012-04-05T16:00:00Z,2012-04-05
1749,1749_2012,2012-04-06T16:00:00Z,2012-04-06
1749,1749_2012,2012-04-07T16:00:00Z,2012-04-07
1749,1749_2012,2012-04-08T16:00:00Z,2012-04-08
1749,1749_2012,2012-04-09T16:00:00Z,2012-04-09
1749,1749_2012,2012-04-10T16:00:00Z,2012-04-10
1749,1749_2012,2012-04-11T16:00:00Z,2012-04-11
1749,1749_2012,2012-04-12T16:00:00Z,2012-04-12
1749,1749_2012,2012-04-13T16:00:00Z,2012-04-13
1749,1749_2012,2012-04-14T16:00:00Z,2012-04-14
1749,1749_2012,2012-04-15T16:00:00Z,2012-04-15
1749,1749_2012,2012-04-16T16:00:00Z,2012-04-16
1749,1749_2012,2012-04-17T16:00:00Z,2012-04-17
1749,1749_2012,2012-04-18T16:00:00Z,2012-04-18
1749,1749_2012,2012-04-19T16:00:00Z,2012-04-19
1749,1749_2012,2012-04-20T16:00:00Z,2012-04-20
1749,1749_2012,2012-04-21T16:00:00Z,2012-04-21
1749,1749_2012,2012-04-22T16:00:00Z,2012-04-22
1749,1749_2012,2012-04-23T16:00:00Z,2012-04-23
1749,1749_2012,2012-04-24T16:00:00Z,2012-04-24
1749,1749_2012,2012-04-25T16:00:00Z,2012-04-25
1749,1749_2012,2012-04-26T16:00:00Z,2012-04-26
1749,1749_2012,2012-04-27T16:00:00Z,2012-04-27
1749,1749_2012,2012-04-28T16:00:00Z,2012-04-28
1749,1749_2012,2012-04-29T16:00:00Z,2012-04-29
1749,1749_2012,2012-04-30T16:00:00Z,2012-04-30
1749,1749_2012,2012-05-01T16:00:00Z,2012-05-01
1749,1749_2012,2012-05-02T16:00:00Z,2012-05-02
1749,1749_2012,2012-05-03T16:00:00Z,2012-05-03
1749,1749_2012,2012-05-04T16:00:00Z,2012-05-04
1749,1749_2012,2012-05-05T16:00:00Z,2012-05-05
1749,1749_2012,2012-05-06T16:00:00Z,2012-05-06
1749,1749_2012,2012-05-07T16:00:00Z,2012-05-07
1749,1749_2012,2012-05-08T16:00:00Z,2012-05-08
1749,1749_2012,2012-05-09T16:00:00Z,2012-05-09
1749,1749_2012,2012-05-10T16:00:00Z,2012-05-10
1749,1749_2012,2012-05-11T16:00:00Z,2012-05-11
1749,1749_2012,2012-05-12T16:00:00Z,2012-05-12
1749,1749_2012,2012-05-13T16:00:00Z,2012-05-13
1749,1749_2012,2012-05-14T16:00:00Z,2012-05-14
