mean,sd,2.5%,25%,50%,75%,97.5%,Rhat,n.eff,overlap0,f
-3.5157116449756414,6.986484729999498,-23.296739065316615,-5.4348599575349645,-1.3581321483477586,0.8652612729754268,4.050693118186598,1.0950601315749897,75,1,0.6554666666666666
2.3929824985394488,2.093197508127664,-1.408989544047897,1.0019286369584608,2.2552351676337157,3.694421928355115,6.89661355020813,1.002697229758287,734,1,0.8854666666666666
-4.755298578673717,5.9960935707548435,-16.71271670327369,-8.543599468850019,-4.760695715654287,-0.875395943342905,6.99120181607691,1.0004810246751568,4688,1,0.7913333333333333
-1.7080236183523496,1.234649986948101,-4.32816567343911,-2.4716368024995874,-1.6430055498771692,-0.8689518882173932,0.5521050027140414,1.0022648985451763,856,1,0.9272
2.411922790218166,3.1947031192432815,-3.797295372871341,0.30352406653710673,2.434905848620919,4.489638299520985,8.756839956581825,1.0003690348057301,6463,1,0.7768
0.9377282664284187,0.977304396532799,0.024565673767034717,0.2736239451989787,0.6450325759953661,1.259345020109736,3.676566104438902,1.0007998260959743,4528,0,1
0.9862609442994229,0.9914547543055269,0.029173806919613264,0.28332525807923176,0.6867403267843952,1.3424884416710794,3.64593007930135,1.001373467716393,1903,0,1
0.9748822182744931,0.9871115933171297,0.026461406672931842,0.27613869221798193,0.6685445436781378,1.3353113118926576,3.699549141092703,1.0051031445064078,3241,0,1
0.9814142793047127,0.9878494090812466,0.024786882834117743,0.28354110447120234,0.6730036423440399,1.3712072478856323,3.6538044010493804,1.004305462258799,1062,0,1
1.0575489210130589,1.0358411684312954,0.02987408659682097,0.30623607217739973,0.7288947365044829,1.4828388438139366,3.8689202003073824,1.0061747195822186,699,0,1
1.070479312254319,1.039581697776884,0.03137402100920194,0.3115636543663649,0.7469078401950817,1.5076629841587754,3.841782848304389,1.0012301695053605,4536,0,1
1.0699886973237618,1.0861886131300238,0.025461458788246294,0.29536336467728136,0.7307734987846517,1.492165559685392,4.087678986388973,1.0049413487180718,1401,0,1
1.0778229297779065,1.0496439808302924,0.02806965433119345,0.3142136918438489,0.7510633872466829,1.512973709701676,3.852982509814354,1.0014725928071382,3182,0,1
1.0281332075335765,0.9810694346478112,0.02348008606082343,0.2995081415883766,0.7244339066462671,1.4582745617763941,3.6219226592420863,1.0026218517978713,7239,0,1
